
  par_i=2, N_i=146, qfix=-2.792669331946793
  par_i=2, N_i=147, qfix=-2.77453511550558
  par_i=2, N_i=148, qfix=-2.756400899064367
  par_i=2, N_i=149, qfix=-2.738266682623154
  par_i=2, N_i=150, qfix=-2.720132466181941
  par_i=2, N_i=151, qfix=-2.701998249740728
  par_i=2, N_i=152, qfix=-2.683864033299515
  par_i=2, N_i=153, qfix=-2.665729816858302
  par_i=2, N_i=154, qfix=-2.6475956004170893
  par_i=2, N_i=155, qfix=-2.6294613839758765
  par_i=2, N_i=156, qfix=-2.611327167534663
  par_i=2, N_i=157, qfix=-2.5931929510934504
  par_i=2, N_i=158, qfix=-2.5750587346522376
  par_i=2, N_i=159, qfix=-2.5569245182110247
  par_i=2, N_i=160, qfix=-2.5387903017698115
  par_i=2, N_i=161, qfix=-2.5206560853285986
  par_i=2, N_i=162, qfix=-2.502521868887386
  par_i=2, N_i=163, qfix=-2.4843876524461725
  par_i=2, N_i=164, qfix=-2.4662534360049597
  par_i=2, N_i=165, qfix=-2.448119219563747
  par_i=2, N_i=166, qfix=-2.429985003122534
  par_i=2, N_i=167, qfix=-2.411850786681321
  par_i=2, N_i=168, qfix=-2.393716570240108
  par_i=2, N_i=169, qfix=-2.375582353798895
  par_i=2, N_i=170, qfix=-2.3574481373576823
  par_i=2, N_i=171, qfix=-2.339313920916469
  par_i=2, N_i=172, qfix=-2.3211797044752562
  par_i=2, N_i=173, qfix=-2.3030454880340434
  par_i=2, N_i=174, qfix=-2.28491127159283
  par_i=2, N_i=175, qfix=-2.2667770551516173
  par_i=2, N_i=176, qfix=-2.2486428387104045
  par_i=2, N_i=177, qfix=-2.2305086222691917
  par_i=2, N_i=178, qfix=-2.2123744058279784
  par_i=2, N_i=179, qfix=-2.1942401893867656
  par_i=2, N_i=180, qfix=-2.1761059729455527
  par_i=2, N_i=181, qfix=-2.15797175650434
  par_i=2, N_i=182, qfix=-2.1398375400631267
  par_i=2, N_i=183, qfix=-2.121703323621914
  par_i=2, N_i=184, qfix=-2.103569107180701
  par_i=2, N_i=185, qfix=-2.0854348907394877
  par_i=2, N_i=186, qfix=-2.067300674298275
  par_i=2, N_i=187, qfix=-2.049166457857062
  par_i=2, N_i=188, qfix=-2.0310322414158493
  par_i=2, N_i=189, qfix=-2.012898024974636
  par_i=2, N_i=190, qfix=-1.9947638085334232
  par_i=2, N_i=191, qfix=-1.9766295920922103
  par_i=2, N_i=192, qfix=-1.9584953756509975
  par_i=2, N_i=193, qfix=-1.9403611592097842
  par_i=2, N_i=194, qfix=-1.9222269427685714
  par_i=2, N_i=195, qfix=-1.9040927263273586
  par_i=2, N_i=196, qfix=-1.8859585098861453
  par_i=2, N_i=197, qfix=-1.8678242934449325
  par_i=2, N_i=198, qfix=-1.8496900770037197
  par_i=2, N_i=199, qfix=-1.8315558605625069
  par_i=2, N_i=200, qfix=-1.8134216441212943
  par_i=2, N_i=99, qfix=-3.6449775046838013
  par_i=2, N_i=98, qfix=-3.663111721125014
  par_i=2, N_i=97, qfix=-3.681245937566227
  par_i=2, N_i=96, qfix=-3.6993801540074402
  par_i=2, N_i=95, qfix=-3.717514370448653
  par_i=2, N_i=94, qfix=-3.735648586889866
  par_i=2, N_i=93, qfix=-3.753782803331079
  par_i=2, N_i=92, qfix=-3.771917019772292
  par_i=2, N_i=91, qfix=-3.790051236213505
  par_i=2, N_i=90, qfix=-3.808185452654718
  par_i=2, N_i=89, qfix=-3.8263196690959305
  par_i=2, N_i=88, qfix=-3.8444538855371437
  par_i=2, N_i=87, qfix=-3.8625881019783566
  par_i=2, N_i=86, qfix=-3.8807223184195694
